,advisor,author,date_issued,date_created,abstract,subject,title,type
191,"Orihuela Paredes, José Carlos","Guerrero Amezaga, Maria Elena",2019-08-26,2019-08,"Some resource-dependent countries experience substantial increases in government revenue during natural resource booms. Recent theoretical and empirical contributions (Robinson et al. 2006, Brollo et al. 2013) have argued that such abundance of windfalls can have a negative effect on the functioning of local institutions. In particular, abundance of windfalls could increase the incidence of corruption because their presence aggravates the moral hazard problem that exists between citizens and their elected authorities. This is so because an increased budget means that officials can appropiate rents illegally without compromising their obligations with the electorate, thus distorting the inferences that citizens make about their authorities? competence. Furthermore, such agency problem could be aggravated by the self-selection of relatively worse candidates entering politics (assuming rents are more valuable for the relatively less skilled), because incumbent mayors (including corrupt ones) would face weaker competition. Exploiting substantial time and spatial variation in the amount of mining-related transfers received by the districts of Peru during the 2000s commodity boom, I implement a difference-in-differences strategy to put the mentioned theory to test. I find evidence supporting the hypothesis of a non-monotonic effect of windfalls on the incidence of corruption, and a negative effect of windfalls on the quality of candidates drawn to challenge incumbents and compete for public office. I do not find strong evidence of the theorized relationship between the two phenomena, but I propose further research pathways to improve our understanding of the results.","Finanzas locales--Perú
Recursos naturales--Perú
Corrupción política--Perú
Delitos de los funcionarios--Perú",The effects of fiscal windfalls on corrruption and selection into politics: evidence from the Peruvian commodity boom (2003-2014),https://purl.org/pe-repo/renati/type#tesis
192,"Murga Pinillos, Aurea Ysabel","Aguilar Lluncor, Diego Alonso",2019-07-11,2019-06,"¿Qué factores explican las diferencias en los niveles de desarrollo local dentro de un país? Un determinante clave es la capacidad estatal: la habilidad del Estado para penetrar su territorio e implementar logísticamente sus decisiones en él. El objetivo de esta investigación es analizar el efecto de la capacidad estatal municipal sobre el nivel de desarrollo económico a nivel local en el Perú. Asimismo, se busca evaluar la existencia de externalidades en la asignación de capacidad estatal entre municipalidades vecinas y su efecto en el desarrollo económico local. La metodología empleada se basa en un modelo de Rezagos Espaciales de Variables Independientes (SLX) aumentado con Variables Instrumentales (IV) y Método Generalizado de Momentos (GMM). Los resultados muestran que la interacción entre gobiernos locales emplea un rol importante en la gestión municipal: los niveles de capacidad estatal local de las municipalidades del Perú (en promedio) se complementan (externalidades positivas). Además, la capacidad estatal de los gobiernos locales está significativamente influenciada por el grado en el cual los ciudadanos están involucrados en las actividades del Estado local (gobierno abierto). Finalmente, los resultados muestran que no solo es importante la capacidad estatal de los gobiernos locales del Perú para mejorar el nivel educativo, disminuir la pobreza y aumentar los niveles de ingreso, sino que este efecto positivo y significativo sobre el nivel de desarrollo de los distritos está repotenciado por los efectos de las externalidades de la capacidad estatal de los gobiernos locales vecinos.","Relaciones entre el gobierno central y el gobierno local--Perú
Gobierno local--Perú
Desarrollo económico--Perú","¿Juntos o separados hacia el desarrollo? : gobierno abierto y la construcción de la capacidad estatal en los gobiernos locales del Perú, 2011-2014",https://purl.org/pe-repo/renati/type#tesis
194,"Francke Ballve, Pedro Andres Topiltzin","Narciso Loli, Daniel Caleb",2019-06-11,2019-05,"La pregunta de investigación del presente trabajo de investigación es la siguiente: ¿Cuál es el impacto que ha tenido JUNTOS sobre el tiempo de estudio de los niños beneficiarios? En este sentido, el objetivo central es medir el impacto del programa JUNTOS sobre el tiempo que los niños dedican a estudiar tanto dentro como fuera del hogar en el periodo 2006-2013. En efecto, se utilizaron los métodos de propensity score matching (PSM) y doble diferencia en base a los datos de los niños de la cohorte menor encuestados hasta la ronda 4 de Niños del Milenio. En relación a los resultados del presente trabajo, se observó un incremento significativo en el tiempo que los niños dedican a realizar labores domésticas producto del programa JUNTOS, mediante los métodos de vecino más cercano, Kernel y distancia máxima. Asimismo, se encontró una reducción significativa en el tiempo que los niños dedican para dormir y asistir a la escuela, en base a los tres métodos anteriormente mencionados. Por su parte, los rubros de tiempo destinado a cuidar de otros miembros del hogar, realizar trabajo remunerado y no remunerado, estudiar y jugar no han sufrido variaciones. De igual forma, se observan efectos negativos del programa JUNTOS sobre las niñas en relación a la variable de tiempo destinado a dormir, respecto a los niños; y para el caso de los niños en relación a las variables de tiempo dedicado a labores domésticas y asistir al colegio. En este sentido, si se asume el supuesto de que los niños están dedicando menos tiempo para asistir a la escuela debido a que están dedicando mayor tiempo en la realización de labores domésticas, el programa JUNTOS no está obteniendo los resultados esperados respecto a la variable de asistencia escolar.","Programa JUNTOS (Perú)
Niños--Educación--Perú
Asistencia escolar--Perú","El impacto del programa JUNTOS sobre el tiempo que los niños dedican a estudiar tanto dentro como fuera del hogar, 2006-2013",https://purl.org/pe-repo/renati/type#tesis
195,"Garavito Masalías, Carmen Cecilia","Fernández Rodríguez, Milú Olga Victoria",2019-05-28,2019-05,"Las personas con discapacidad requieren de mayores cuidados, así como atención médica, fisioterapias, medicinas entre otros, que implican incurrir en mayores gastos. Debido a ello, sus familiares tendrán que dedicarle más tiempo para su cuidado reduciendo el tiempo en otras actividades como trabajar, pero al mismo tiempo es necesario que sean parte del mercado laboral para poder obtener los ingresos necesarios para cubrir los gastos de sus familiares con discapacidad. De acuerdo con ello, la presente investigación tiene por objetivo analizar los efectos de la presencia de un hijo con discapacidad sobre la participación laboral y las horas trabajadas de los padres. El análisis se realiza para los padres por separado y según su estado civil, además se analiza no solo el efecto de tener un hijo con discapacidad sino también el número de hijos con discapacidad y los diferentes tipos de discapacidad. Se utiliza un pool de datos de la encuesta nacional de hogares (ENAHO) del 2014 al 2017 y se propone como metodología una estimación en tres etapas: 1) se estima un modelo probit para la participación laboral, 2) se estima la ecuación de salarios corregida por el sesgo de selección y 3) se estima un modelo tobit para las horas de trabajo en función de los salarios predichos. Los resultados indican que la presencia de un hijo con discapacidad tiene efectos importantes sobre la oferta laboral de los padres. Se encuentran efectos negativos para el caso de las madres tanto en la participación laboral como en las horas trabajadas, en especial para el caso de las madres solteras, así como tener un hijo más con discapacidad respecto a la participación laboral. Asimismo, se encuentra que hay ciertos tipos de limitaciones que presentan los hijos que impactan en la participación laboral y horas trabajadas de los padres. Solo se encontró que para los padres solteros tener un hijo con discapacidad tiene efectos positivos sobre la participación laboral.","Ausentismo laboral--Perú
Padres de niños con discapacidad--Perú
Crianza de niños--Perú",Los efectos de la presencia de un hijo con discapacidad sobre la participación laboral y las horas trabajadas de los padres,https://purl.org/pe-repo/renati/type#tesis
196,"Mendoza Bellido, Waldo Epifanio","Anastacio Clemente, Yuliño Clever",2019-05-03,2019,"Este trabajo analiza los determinantes externos y domésticos del déficit fiscal de Perú, expresado como porcentaje del PBI, durante el periodo comprendido entre el primer trimestre de 1995 y el cuarto trimestre de 2018. Como único factor externo se tiene al precio de los minerales y entre los factores domésticos están el volumen de exportaciones mineras, el PBI no primario y el gasto público no financiero. La aproximación econométrica es un Vector Autorregresivo Estructural (SVAR), el cual sigue una identificación de corto plazo. Si bien la metodología permite hallar la descomposición de la varianza del error de predicción (DVEP) y las funciones impulso respuesta (FIR), con el objetivo de responder a la pregunta de investigación se realiza una descomposición histórica del déficit fiscal. Los resultados muestran que, en promedio, durante las dos últimas décadas, el 56,3 por ciento del déficit fiscal peruano ha estado explicado por factores externos, en específico, por el precio de los minerales. Por su parte, los factores domésticos explican alrededor del 44 por ciento del déficit fiscal, y dentro de esos factores, el volumen de exportaciones mineras, el gasto público no financiero y el PBI no primario son los componentes más importantes. Además, se encuentra que los pesos de los factores domésticos y externos sobre el déficit fiscal han cambiado a lo largo del tiempo, tanto así que los factores domésticos pasaron de explicar 90 por ciento del déficit fiscal en 1995 a explicar solo el 37,2 por ciento en el periodo 2006 - 2009.","Déficit presupuestario--Perú
Finanzas públicas--Perú
Industria minera--Perú","Los determinantes del déficit fiscal : Perú, 1995-2018",https://purl.org/pe-repo/renati/type#tesis
197,"Tello Pacheco, Mario Delfín","Rojas Lara, Pablo Enrique",2019-04-22,2019-03,"A pesar del importante crecimiento del valor de las exportaciones peruanas en los últimos años, se ha obviado la consolidación de ellas en los mercados internacionales: La supervivencia de las exportaciones nacionales es baja. Siguiendo a Hess y Persson (2012), y aplicando una metodología de un logit multinomial, se desea conocer cuáles son los determinantes de esta baja probabilidad de supervivencia. Nuestros resultados enfatizan la experiencia, el valor de las exportaciones, la diversificación de mercados y el bajo nivel de elaboración de los productos como importantes componentes que permiten incrementar la estabilidad de las exportaciones peruanas en el tiempo. Nuestra recomendación de política económica implica la inserción en las cadenas globales de valor en una estrategia de eslabonamiento hacia adelante.","Exportaciones--Perú
Mercancías--Perú
Perú--Comercio
Perú--Política económica",Determinantes de la supervivencia de los productos de exportación del Perú 1995-2015,https://purl.org/pe-repo/renati/type#tesis
198,"Orihuela Paredes, José Carlos","Glave Barrantes, Carla Zenobia",2019-03-04,2019-02,"Si bien la literatura plantea la existencia de una maldición de recursos naturales (MRN) en distintas dimensiones del desarrollo de una nación o región, no hay un consenso empírico. El presente trabajo explora la existencia de una maldición de recursos naturales a nivel local en la dimensión de formación de capital humano en la región de Madre de Dios. Para dicho propósito, se utiliza el movimiento de los precios del oro ? un componente exógeno ? para ver respuestas de los hogares en términos de demanda educativa, específicamente matrícula. De esta forma, la pregunta que guía este trabajo es ¿cuál es el efecto de la caída de los precios del oro sobre la matrícula escolar en Madre de Dios entre los años 2007-2015? La literatura plantea la interacción entre dos efectos ? efecto sustitución y efecto ingreso ? los cuales determinan las decisiones del hogar entre matrícula y trabajo infantil y adolescente. Para identificar el efecto que predomina en el caso estudiado, se utiliza un pool de datos georeferenciados de la ENAHO 2007-2015. Utilizando diferentes definiciones de influencia minera, se emplea una metodología de diferencias en diferencias para capturar el impacto de la caída de precios del oro (2012) en zonas de influencia minera sobre matrícula y trabajo. Se encuentra que para edades menores? 5 y 14 años ? no hay un efecto sobre matrícula, pero que el trabajo dentro del hogar aumenta. En el caso de edades mayores ? entre 14 y 18 años ? la matrícula baja, y también aumenta el trabajo dentro del hogar, pero no se ve alterado el trabajo fuera del hogar. Estos resultados indican que el efecto ingreso predomina en este caso. También indica que la sustitución entre trabajo y escuela es en realidad una sustitución entre hogar y escuela, al no haber interacción con el trabajo fuera del hogar. Si bien hay diversas limitaciones metodológicas por los datos disponibles, este trabajo da luz sobre lo que sucede con una dimensión importante para el desarrollo ? educación ? en un contexto de explotación y dependencia de un recurso natural","Minas de oro--Perú--Madre de Dios
Niños--Educación--Perú--Madre de Dios
Economía doméstica--Perú--Madre de Dios
Hogar y escuela--Perú--Madre de Dios",El oro y la escuela : la caída de precios del oro y su efecto sobre la demanda educativa escolar : un estudio de caso para Madre de Dios 2007-2015,https://purl.org/pe-repo/renati/type#tesis
199,"Jopen Sánchez, Guillermo Héctor","Cayo Velásquez, Milagros Jazmín",2019-02-08,2018,"El objetivo de esta tesis es analizar qué factores determinan la decisión de niños y jóvenes entre 5 y 17 años por participar en el mercado laboral (sea formal o informal), actividad que es conocida como ?trabajo infantil?. Si bien la tercera parte de la población infantil en el Perú se dedica a alguna actividad económica, este problema no se muestra como un impedimento para la asistencia a la escuela; por el contrario, en la mayoría de casos el trabajo es una actividad que se realiza en paralelo a los estudios. Por tal motivo, la presente tesis se enfoca en analizar y comprender los factores determinantes de que un escolar dedique su tiempo a trabajar. A partir de un modelo intertemporal en el que padres buscan encontrar el nivel óptimo de tiempo del niño dedicado a la escolaridad, y de la revisión de literatura nacional e internacional, se plantea la hipótesis que la decisión de que el niño o joven asista a la escuela o dedique su tiempo a trabajar dependerá de sus características individuales, las de su familia y el entorno geográfico en que habite. Mencionada hipótesis es contrastada a partir de la información proporcionada por la Encuesta Nacional de Trabajo Infantil (ETI) del año 2015, y aplicando metodologías de Elección Binaria (Logit y Probit). Como conclusión, se destaca la importancia que tiene el nivel educativo de los padres al momento de decidir; en donde el efecto negativo por la probabilidad de trabajar se hace más fuerte conforme aumenta la edad del niño. A su vez, con respecto a las características propias del niño, el sexo no será un factor determinante en la decisión por el uso del tiempo en trabajar de un escolar en el área urbana, a diferencia del área rural","Trabajo infantil--Perú
Niños--Educación--Perú
Niños--Perú--Condiciones sociales",A la escuela y ¿también a trabajar? : determinantes del trabajo infantil en niños que asisten a la escuela,https://purl.org/pe-repo/renati/type#tesis
200,"Castillo Bardalez, Paul Gonzalo","Janzic Sosa, Zeljko Giusseppy",2018-12-17,2018,"El presente trabajo busca estudiar las presiones cambiarias en el Perú en el periodo comprendido entre 2004-2017. En base a la metodología de identificación propuesta por Tashu (2014) para medir los efectos de la intervención cambiaria en el Perú, se construye un índice de presiones cambiarias para el caso peruano, en dos etapas, en la primera se estima la función de reacción del BCRP, y en la segunda se evalúa, utilizando variables instrumentales, el impacto de los instrumentos de intervención en el tipo de cambio. Este índice permite cuantificar la intensidad de la presión cambiaria y evaluar su impacto en las condiciones financieras. Posterior a ello, se realiza una aplicación de este índice para evaluar su impacto en las condiciones monetarias del país, reflejado en la tasa de interés preferencial corporativa. Se extraen dos conclusiones principales. En primer lugar, se halla evidencia empírica en cuanto al rol del BCRP en su objetivo de reducir la volatilidad cambiaria, teniendo este un impacto estadísticamente significativo. Asimismo, se encuentra que el BCRP se ha vuelto más efectivo cuando ha utilizado derivados financieros en comparación a si no los hubiera usado. No obstante, en segundo lugar, se encuentra que la intervención por parte del BCRP sí tiene un costo: sube la tasa de interés preferencial corporativa, la cual genera un endurecimiento de las condiciones monetarias del país","Tipo de cambio--Perú
Dolarización--Perú
Finanzas--Perú
Política monetaria--Perú","Un índice de presión cambiaria para el Perú, efectos sobre las condiciones monetarias",https://purl.org/pe-repo/renati/type#tesis
201,"Rodríguez Briones, Gabriel Hende","Guevara Kenty, Carlos Enrique",2018-12-17,2018,"Este documento analiza el efecto de los choques en la oferta de créditos sobre la actividad económica real de los países de la Alianza del Pacífico. El enfoque econométrico es un VAR con parámetros cambiantes en el tiempo con volatilidad estocástica (TVP-VAR-SV), que se identifica mediante restricciones de signos. Los resultados de un estadístico de traza, t-tests y la prueba de Kolmogorov-Smirnov revelan la existencia de cambios significativos en la distribución de los parámetros a lo largo del tiempo, lo que respalda el uso de parámetros variantes en el tiempo. Los resultados indican que los choques en la oferta de créditos tienen un impacto importante en la actividad económica real en todos los países de la Alianza del Pacífico: alrededor del 1% en Colombia, México y Perú, y alrededor del 0.5% en Chile. Además, los choques de la oferta de créditos tienen un papel considerable en la conducción de las fluctuaciones del ciclo económico, no solo en períodos de crisis, sino también en períodos de estabilidad. Su contribución al crecimiento del PIB es mayor que la de los choques de oferta agregada y tan alta como la de la demanda agregada y los choques dela política monetaria. La evolución del impacto de los choques en la oferta de créditos sobre la actividad económica real muestra evidencia de heterogeneidad entre países, lo que refleja diferentes estructuras financieras entre los países de la Alianza del Pacífico. Además, al evaluar los efectos en diferentes medidas de la actividad económica, se estima que los choques de la oferta crediticia tienen un mayor impacto en la demanda interna, mientras que el impacto es similar cuando se estima el modelo para las actividades no primarias. Finalmente, el análisis de sensibilidad indica que los resultados del modelo son robustos para diferentes especificaciones previas, para diferentes medidas de variables externas y para múltiples conjuntos de restricciones de signos. Además, al aplicar una identificación agnóstica, los resultados indican que aun dejando libre la respuesta del PIB, su respuesta a los choques del suministro de créditos sigue siendo positiva y significativa. Con esta especificación múltiple, el impacto de los choques en la oferta de créditos sobre el crecimiento del PBI oscila entre 0.8% y 1.2% en Perú y Colombia, y entre 0.5% y 0.8% en Chile. Estos resultados están cerca de la estimación de referencia y muestran robustez. Con respecto a México, se estima que el impacto de los choques en la oferta de créditos varía entre 0.8% -3.5%","Alianza del Pacífico (Organización : América Latina)
Crédito--América Latina
América Latina--Condiciones económicas--Siglo XXI",The role of credit supply shocks in Pacific Alliance countries : A TVP-VAR-SV Approach,https://purl.org/pe-repo/renati/type#tesis
202,"Tovar Rodríguez, Patricia","Arrieta Padilla, Gabriel Lewis",2018-12-17,2018,"La presente investigación está orientada a comprobar si han existido efectos positivos traducidos en el aumento de los flujos comerciales en todas las secciones del sistema armonizado, a través de la medición de los efectos de creación y desviación comercial producidos por el TLC Perú-Estados Unidos, utilizando datos desagregados a 10 dígitos entre los años 1995-2015. Para ello, se utiliza la metodología planteada en Carrère (2006), MacPhee y Sattayanuwat (2014), Tumbarello (2007) y Yang y Martínez (2013) que utilizan tres variables dummy para medir estos efectos. El método de estimación que se utiliza es el llamado Pseudo Poisson Maximum Likelihood (PPML), introducido por Santos Silva y Tenreyro (2006). Entre los principales resultados se destaca que el TLC (sin distinciones entre secciones) genera efectos positivos, pero no significativos en el nivel de comercio. Asimismo, el TLC no ha generado un incremento en 7 de 21 secciones, debido a la existencia del efecto de desviación comercial intrabloque, mientras que sí presentó incrementos en las secciones 1 (animales vivos y productos del reino animal) y 18 (instrumentos y aparatos de óptica, fotografía o cinematografía; instrumentos y aparatos médico-quirúrgicos; aparatos de relojería; instrumentos musicales). Para el resto de secciones se obtuvieron resultados no significativos en la variable que mide el efecto del comercio intrabloque, pero sí presentaron resultados significativos para las variables que miden la creación o desviación comercial de importaciones y exportaciones. Por tal motivo, se realizan recomendaciones de políticas orientadas a revertir estos efectos para un mejor aprovechamiento de los acuerdos comerciales","Libre comercio--Perú
Tratados--Perú
Perú--Comercio--Estados Unidos
Estados Unidos--Comercio--Perú",Un análisis gravitacional de la creación y desviación comercial en el marco del Tratado de Libre Comercio entre Perú-Estados Unidos,https://purl.org/pe-repo/renati/type#tesis
203,"Barrantes Cáceres, Roxana María Irma","Ramos Bonilla, Andrea",2018-12-12,2018,"Esta investigación provee evidencia acerca del efecto del acceso a cobertura de telefonía móvil sobre la mejora de los recursos financieros, materiales y sociales de los hogares de la sierra rural del Perú durante el período 2009 ? 2016, el cual cubre la mayor parte de la fase de máxima expansión e innovación de las telecomunicaciones en el país. Asimismo, explora el efecto diferenciado de la cobertura móvil sobre los recursos financieros / ingresos según si provienen de actividades agropecuarias o no agropecuarias; así como los posibles efectos heterogéneos de acceder a cobertura móvil bajo distintas configuraciones y duración de la exposición al tratamiento. Para ello, se empleó un Modelo Lineal Multinivel (MLM) que consideró los diferentes niveles de especificación de las variables que modelan la relación entre el acceso a cobertura de telefonía móvil y los distintos tipos de recursos de los hogares, y se usó como marco de análisis el Enfoque de la Elección. Los principales hallazgos del estudio muestran que el acceso a cobertura móvil mejoró los recursos financieros de los hogares de la sierra rural pero solo mediante el canal de mejora de los ingresos no agropecuarios, registrándose un efecto negativo significativo sobre los ingresos agropecuarios no salariales. Asimismo, se identificó que el acceso a cobertura móvil aumentó significativamente la probabilidad de que los hogares mejoren sus recursos materiales pero redujo la probabilidad de que incrementen sus recursos sociales. Por último, se encontró que un acceso prologado al tratamiento intensificó los efectos positivos encontrados sobre los recursos financieros y materiales de los hogares","Industria de servicios de telefonía celular--Perú
Economía doméstica--Perú
Desarrollo rural--Perú
Telecomunicaciones--Perú",La expansión de la cobertura de telefonía móvil y su impacto en el desarrollo rural. El caso de los hogares de la sierra rural durante la fase de convergencia e innovación de las telecomunicaciones en el Perú,https://purl.org/pe-repo/renati/type#tesis
204,"Francke Ballve, Pedro Andrés Toribio","Neyra Chávez, Cristian Alberto",2018-12-12,2018,"La relación entre pobreza y minería resulta interesante de estudiar dado que en primera instancia, se podría deducir que los mayores ingresos que genera la actividad extractiva para las localidades donde se desarrolla, deberían traducirse en mayores oportunidades de crecimiento y aumento de bienestar; sin embargo, esto no ha sucedido. Ante esa motivación, la presente investigación tiene como objetivo general dilucidar de qué manera afecta (positiva o negativa) la minería (a través del valor agregado bruto de la actividad minera) a la pobreza de los departamentos del Perú (pobreza como variable dependiente y minería como independiente) dentro del marco de la teoría de la ?Enfermedad holandesa?. En ese sentido, se busca determinar si la presencia de la minería resulta significativa para la reducción de la pobreza en los departamentos del Perú. Como horizonte temporal se utiliza el periodo: 2004-2010. Finalmente, la conclusión a la que se llega en el presente documento consiste en que si bien existe una relación negativa entre la minería y la pobreza, no se puede afirmar que se da a través del perjuicio de otras actividades económicas más tradicionales de acuerdo con lo señalado por la literatura respecto de la teoría de la Enfermedad holandesa","Industria minera--Aspectos sociales--Perú
Pobreza--Perú
Gobierno local--Perú",El impacto de la minería en la pobreza de las regiones 2004-2010,https://purl.org/pe-repo/renati/type#tesis
205,"García Núñez, Luis Javier","Camos Coico, Perla Liliana",2018-12-12,2018,"En las últimas décadas se destaca una creciente preocupación por el desarrollo de los programas sociales, los cuales tienen como objetivo mejorar la calidad de vida de las personas y son una de las principales herramientas del gobierno. Dichos programas se han convertido en una de las herramientas principales que tiene el gobierno para beneficiar a las poblaciones que se encuentran en situación de pobreza o pobreza extrema. Por ello, en este documento se pretende investigar el impacto que tienen dichos programas sociales, específicamente programas alimentarios (como Vaso de Leche y Comedor Popular) y programas de transferencias condicionadas de dinero (JUNTOS), sobre el indicador de nutrición de los niños de 0 a 5 años; es decir, se pretende saber qué tanto se puede atribuir la reducción de la desnutrición a la participación en dichos programas. En base a la literatura revisada, esta investigación propone como hipótesis que existe una relación positiva entre estos programas y el nivel de nutrición de los niños, medido por el indicador zscore. Asimismo, con el fin de evaluar este impacto, esta investigación aborda el tema mediante la metodología de variables instrumentales, utilizando la Encuesta Demográfica y de Salud Familiar (ENDES), correspondiente a los años 2014, 2015 y 2016. Los resultados sugieren que existe el impacto esperado de los programas sociales en la lucha contra la desnutrición infantil, demostrando también que existe una mejora en el impacto de un año a otro","Desnutrición infantil--Perú--Prevención
Ayuda alimentaria--Perú
Investigaciones evaluativas (Programas de acción social)--Perú
Perú--Política social--Siglo XXI",El efecto de los programas sociales sobre la desnutrición crónica infantil en el Perú,https://purl.org/pe-repo/renati/type#tesis
206,"Rodríguez Gonzalez, José Santos","Collahua Huaccharaqui, Yessenia",2018-12-06,2018,"En Perú, de acuerdo al Sistema de Información de Apoyo a la Gestión Educativa (SIAGIE) del Ministerio de Educación, el traslado interanual del servicio educativo en el nivel secundario entre los años 2016 y 2017 fue 10% aproximadamente. Estos traslados o cambios de escuela pueden traer consigo efectos positivos o negativos en la trayectoria escolar; es probable que el cambio a una escuela con mejor desempeño sea beneficioso para el estudiante, pero puede suceder que el cambio de escuela tenga un efecto perjudicial en el rendimiento académico a razón de problemas de adaptación a la escuela y a la clase. La presente investigación tiene como objetivo principal demostrar el efecto de los cambios de escuela, en el nivel secundaria, sobre la culminación de su educación básica regular. Asimismo, busca identificar los factores que determinan la culminación de su etapa escolar, es decir que completen tanto el nivel primaria y secundaria en el tiempo regular (11 años). Con el fin de responder a los objetivos planteados en el estudio se utilizará un modelo de regresión logística multinomial utilizando los datos de Niños del Milenio (Young Lives, en inglés). De acuerdo a los resultados de la investigación, cambiarse de escuela (al menos un cambio) durante el nivel secundaria disminuye en 17% la probabilidad de culminar sus estudios escolares a tiempo. Por lo tanto, se asevera la hipótesis de que los cambios de escuela incrementan el riesgo de deserción","Asistencia escolar--Perú
Educación secundaria--Perú
Rendimiento académico--Perú",El cambio de escuela y sus efectos sobre la asistencia y la culminación escolar en Perú,https://purl.org/pe-repo/renati/type#tesis
207,"Orihuela Paredes, José Carlos","Pérez Cavero, Carlos Archer",2018-12-06,2018,"¿Quiénes se beneficiaron del último boom minero en el Perú? En este estudio mostramos que depende de la condición de ruralidad de los centros poblados cercanos a los centros de producción minera. Estudios previos sugieren beneficios locales en ciudades cercanas a la unidad minera, mientras que existe una creciente conflictividad social por reclamos ambientales de pequeños productores agropecuarios cercanos a la unidad minera. Los efectos de esta actividad serían heterogéneos según la condición de estrato urbano o rural y según la cercanía a los centros de operación minera. La investigación sobre Perú no considera la heterogeneidad e importancia del factor espacio en la relación minería y bienestar, a diferencia de la reciente investigación internacional. En esta tesis se propone cerrar esta brecha utilizando información georreferenciada de encuestas de hogares ? obtenida administrativamente- y producción de unidades mineras. La relación causal entre minería y bienestar es explorada mediante una estrategia de identificación de diferencias en diferencias que explota la variación espacial (cercanía a mina) y temporal (cambios en producción) de la actividad minera generada por el aumento exógeno de los precios internacionales de los minerales. Los resultados sugieren que los hogares que viven en centros poblados urbanos son quienes se beneficiaron con mayor gasto e ingreso real durante el último boom minero, mientras que aquellos hogares que viven en centros poblados rurales no son afectados. Este incremento en los gastos e ingresos reales de los hogares se debe a una mejora en los ingresos laborales en sectores que pueden proveer de insumos (manufacturas) y servicios a la actividad minera cercana. Esta tesis resalta la compleja relación entre minería y bienestar a nivel local, aportando a la literatura de la maldición local de los recursos naturales","Industria minera--Perú
Desarrollo económico--Perú
Encuestas de hogares--Perú
Perú--Condiciones rurales","Más allá de la maldición de los recursos naturales : efectos diferenciados del boom minero en la sierra peruana, 2001-2016",https://purl.org/pe-repo/renati/type#tesis
208,"Rodríguez Briones, Gabriel Hende","Hasegawa Sánchez, Alejandra Harumi",2018-12-06,2018,"El objetivo de esta investigación es investigar si los movimientos del tipo de cambio nominal afectan la fijación de la tasa de interés de política monetaria en Perú. Estimamos un modelo de equilibrio general dinámico estocástico (DSGE, siglas en inglés) neokeynesiano de una economía pequeña y abierta con hogares, dos sectores productivos de exportación (commodities y manufacturados) y un sector externo, basado en el modelo desarrollado por Schmitt-Grohé y Uribe (2017). El modelo considera mercados incompletos, rigidez de precios a la Calvo y una regla de política monetaria que responde a cambios en la infación, el producto bruto interno y tipo de cambio nominal. Adicionalmente, se incluye una condición de paridad de la tasa de interés modificada que captura la intervención cambiaria, que ha sido utilizada activamente por el Banco Central del Perú desde principios de los años 90. Estimamos cuatro especi caciones del modelo por métodos bayesianos para los periodos 1T2002-4T2017 y 1T2010-4T2017, cuando el Banco Central del Perú sigue un régimen de metas de in ación. El principal resultado sugiere que la importancia del tipo de cambio nominal en la regla de política monetaria del Banco Central del Perú ha disminuido desde el 2010, lo que puede atribuirse al proceso de desdolarización de la economía peruana y la consolidación del régimen de metas de in ación. Durante el período 1T2020-4T2017, el Banco Central racionaliza su esquema de metas de inflación con instrumentos para limitar los riesgos vinculados a la dolarización e interviene en el mercado de divisas. Además, encontramos que la intervención en el mercado cambiario ha sido una característica relevante del mercado cambiario en Perú y de la determinación del tipo de cambio
The aim of this paper is to investigate whether exchange rate movements affect the monetary policy interest rate setting in Peru. We estimate a New Keynesian Dynamic Stochastic General Equilibrium (DSGE) model of a small open economy with households, two productive export sectors (commodities and manufacturing) and a foreign sector, based on the model developed by Schmitt-Grohé and Uribe (2017). The model considers incomplete markets, sticky prices a la Calvo and a monetary policy rule that responds to changes in in-  ation, output and in the nominal exchange rate. Additionaly, we include a modi ed interest rate parity condition that captures foreign exchange intervention, which has been actively used by the Central Bank of Peru since early 90s. We estimate four speci cations of the model by Bayesian methods for the periods 2002Q1-2017Q4 and 2010Q1-2017Q4, when the Central Bank of Peru follows an in ation targeting regime. The main result suggests that the importance of the nominal exchange rate in the Central Bank of Peru's interest rate policy rule has decreased since 2010, which can be attributed to the de-dollarization process of the Peruvian economy and the consolidation of the in ation targeting regime. During 2010Q1-2017Q4, the Central Bank rationalizes its in ation targeting scheme with instruments to limit risks linked to dollarization and intervenes in the foreign exchange market. In addition, we nd that foreign exchange market intervention has remained a relevant feature of the foreign exchange market in Peru and of the determination of the exchange rate.","Política monetaria--Perú
Tipos de cambio--Perú
Tasas de interés--Efectos de la inflación--Perú",Does the Central Bank of Peru respond to exchange rate movements?,https://purl.org/pe-repo/renati/type#tesis
